"","ind","ref","param","RSF_estimate"
"Prey_predicted","Fish72","Ref","Prey_predicted",-0.747926988945893
"Prey_predicted1","Fish72","Ref","Prey_predicted",0.742069478156437
"Prey_predicted2","Fish72","Ref","Prey_predicted",0.255460957211226
"Prey_predicted3","Fish72","Ref","Prey_predicted",-0.652603994888304
"Prey_predicted4","Fish72","Ref","Prey_predicted",0.543371568818091
"Prey_predicted5","Fish72","Ref","Prey_predicted",-1.26654207361425
"Prey_predicted6","Fish72","Ref","Prey_predicted",-0.28073226231814
"Prey_predicted7","Fish72","Ref","Prey_predicted",1.6346336660851
"Prey_predicted8","Fish72","Ref","Prey_predicted",0.163851129863992
"Prey_predicted9","Fish72","Ref","Prey_predicted",-0.361994378604223
"Prey_predicted10","Fish72","Ref","Prey_predicted",-0.962858859832404
"Prey_predicted11","Fish72","Ref","Prey_predicted",0.108522029250751
"Prey_predicted12","Fish72","Ref","Prey_predicted",0.95796373438476
"Prey_predicted13","Fish72","Ref","Prey_predicted",-0.0699486095641459
"Prey_predicted14","Fish72","Ref","Prey_predicted",0.0606112452215399
"Prey_predicted15","Fish72","Ref","Prey_predicted",-0.395818306738212
"Prey_predicted16","Fish72","Ref","Prey_predicted",-0.737603592190452
"Prey_predicted17","Fish72","Ref","Prey_predicted",1.03243500917376
"Prey_predicted18","Fish72","Ref","Prey_predicted",-0.0179936668299991
"Prey_predicted19","Fish72","Ref","Prey_predicted",0.709770068029956
"Prey_predicted20","Fish72","Ref","Prey_predicted",-2.11540128730329
"Prey_predicted21","Fish72","Ref","Prey_predicted",0.392026088621022
"Prey_predicted22","Fish72","Ref","Prey_predicted",-2.12283532421791
"Prey_predicted23","Fish72","Ref","Prey_predicted",-0.0460396381467162
"Prey_predicted24","Fish72","Ref","Prey_predicted",0.742406810200303
"Prey_predicted25","Fish72","Ref","Prey_predicted",-1.60013524215711
"Prey_predicted26","Fish72","Ref","Prey_predicted",1.89407837670069
"Prey_predicted27","Fish72","Ref","Prey_predicted",2.06405636180206
"Prey_predicted28","Fish72","Ref","Prey_predicted",-0.0301741277085983
"Prey_predicted29","Fish72","Ref","Prey_predicted",-0.494669150144131
"Prey_predicted30","Fish72","Ref","Prey_predicted",0.460817049287124
"Prey_predicted31","Fish72","Ref","Prey_predicted",-1.15828910928157
"Prey_predicted32","Fish72","Ref","Prey_predicted",0.102320129219512
"Prey_predicted33","Fish72","Ref","Prey_predicted",1.57675755014231
"Prey_predicted34","Fish72","Ref","Prey_predicted",-0.58810925639824
"Prey_predicted35","Fish72","Ref","Prey_predicted",-0.303229161422629
"Prey_predicted36","Fish72","Ref","Prey_predicted",-0.8190749392472
"Prey_predicted37","Fish72","Ref","Prey_predicted",0.657322117932861
"Prey_predicted38","Fish72","Ref","Prey_predicted",0.0569911820899835
"Prey_predicted39","Fish72","Ref","Prey_predicted",0.817379008284181
"Prey_predicted40","Fish72","Ref","Prey_predicted",-0.165116174813865
"Prey_predicted41","Fish72","Ref","Prey_predicted",0.0672919787369833
"Prey_predicted42","Fish72","Ref","Prey_predicted",0.267279854770806
"Prey_predicted43","Fish72","Ref","Prey_predicted",1.22207056971972
"Prey_predicted44","Fish72","Ref","Prey_predicted",0.208486163892363
"Prey_predicted45","Fish72","Ref","Prey_predicted",0.0601659481772345
"Prey_predicted46","Fish72","Ref","Prey_predicted",-0.879065892219152
"Prey_predicted47","Fish72","Ref","Prey_predicted",-0.945003231423507
"Prey_predicted48","Fish72","Ref","Prey_predicted",-0.45544793939551
"Prey_predicted49","Fish72","Ref","Prey_predicted",0.396484617072656
"Prey_predicted50","Fish72","Ref","Prey_predicted",-0.726594605544155
"Prey_predicted51","Fish72","Ref","Prey_predicted",-1.17248758037139
"Prey_predicted52","Fish72","Ref","Prey_predicted",0.894293055123932
"Prey_predicted53","Fish72","Ref","Prey_predicted",-1.09194525729589
"Prey_predicted54","Fish72","Ref","Prey_predicted",1.17470560499323
"Prey_predicted55","Fish72","Ref","Prey_predicted",-0.134917092451382
"Prey_predicted56","Fish72","Ref","Prey_predicted",-1.13653002310741
"Prey_predicted57","Fish72","Ref","Prey_predicted",1.64019184092616
"Prey_predicted58","Fish72","Ref","Prey_predicted",1.84621911175372
"Prey_predicted59","Fish72","Ref","Prey_predicted",0.857442363358965
"Prey_predicted60","Fish72","Ref","Prey_predicted",-0.308111757084123
"Prey_predicted61","Fish72","Ref","Prey_predicted",-0.620243306746106
"Prey_predicted62","Fish72","Ref","Prey_predicted",0.397377084413863
"Prey_predicted63","Fish72","Ref","Prey_predicted",0.992857286384545
"Prey_predicted64","Fish72","Ref","Prey_predicted",1.61267192059932
"Prey_predicted65","Fish72","Ref","Prey_predicted",0.48796624585357
"Prey_predicted66","Fish72","Ref","Prey_predicted",0.59121779232758
"Prey_predicted67","Fish72","Ref","Prey_predicted",-0.0225439194418113
"Prey_predicted68","Fish72","Ref","Prey_predicted",-0.790971648496938
"Prey_predicted69","Fish72","Ref","Prey_predicted",1.17642753124908
"Prey_predicted70","Fish72","Ref","Prey_predicted",-0.217447777529449
"Prey_predicted71","Fish72","Ref","Prey_predicted",2.00344869420138
"Prey_predicted72","Fish72","Ref","Prey_predicted",-2.07574637029137
"Prey_predicted73","Fish72","Ref","Prey_predicted",-0.335789929648153
"Prey_predicted74","Fish72","Ref","Prey_predicted",0.402181610509396
"Prey_predicted75","Fish72","Ref","Prey_predicted",-1.99515459368083
"Prey_predicted76","Fish72","Ref","Prey_predicted",0.813325349960867
"Prey_predicted77","Fish72","Ref","Prey_predicted",-0.392407820120931
"Prey_predicted78","Fish72","Ref","Prey_predicted",-0.0152591417179328
"Prey_predicted79","Fish72","Ref","Prey_predicted",-0.259991111164132
"Prey_predicted80","Fish72","Ref","Prey_predicted",1.31735002008947
