"","ind","ref","param","coeff","N_random_tracks"
"Prey_predicted","Fish72","Ref","Large zooplankton",3.65396308220671,1
"NotPrey_predicted","Fish72","Ref","Small zooplankton",-4.3296458186502,1
"ecart_6","Fish72","Ref","Dist to Iso6",-3.39063594139016,1
"Dist_fond","Fish72","Ref","Dist to bottom",0.621180613507928,1
"Dist_berge","Fish72","Ref","Dist to shore",-1.40222073487769,1
"Prey_predicted1","Fish72","Ref","Large zooplankton",1.52603103589501,1
"NotPrey_predicted1","Fish72","Ref","Small zooplankton",-1.85390375085751,1
"ecart_61","Fish72","Ref","Dist to Iso6",-4.62002892143806,1
"Dist_fond1","Fish72","Ref","Dist to bottom",-2.75120407768611,1
"Dist_berge1","Fish72","Ref","Dist to shore",-1.04469301982521,1
"Prey_predicted2","Fish72","Ref","Large zooplankton",1.80845939730774,1
"NotPrey_predicted2","Fish72","Ref","Small zooplankton",-1.94686988732275,1
"ecart_62","Fish72","Ref","Dist to Iso6",-2.4839931897827,1
"Dist_fond2","Fish72","Ref","Dist to bottom",-2.95952461238122,1
"Dist_berge2","Fish72","Ref","Dist to shore",-0.196220377514069,1
"Prey_predicted3","Fish72","Ref","Large zooplankton",5.71310307721286,1
"NotPrey_predicted3","Fish72","Ref","Small zooplankton",-4.83435313317165,1
"ecart_63","Fish72","Ref","Dist to Iso6",9.0226192830315,1
"Dist_fond3","Fish72","Ref","Dist to bottom",-21.1266631113492,1
"Dist_berge3","Fish72","Ref","Dist to shore",-2.42630202554268,1
"Prey_predicted4","Fish72","Ref","Large zooplankton",2.0557619885225,1
"NotPrey_predicted4","Fish72","Ref","Small zooplankton",-2.42648273198203,1
"ecart_64","Fish72","Ref","Dist to Iso6",-2.02928403079942,1
"Dist_fond4","Fish72","Ref","Dist to bottom",-1.6365397404938,1
"Dist_berge4","Fish72","Ref","Dist to shore",-0.42971581840344,1
"Prey_predicted5","Fish72","Ref","Large zooplankton",1.79392800249535,1
"NotPrey_predicted5","Fish72","Ref","Small zooplankton",-1.97924497184739,1
"ecart_65","Fish72","Ref","Dist to Iso6",-3.00502341674306,1
"Dist_fond5","Fish72","Ref","Dist to bottom",-0.27331093669231,1
"Dist_berge5","Fish72","Ref","Dist to shore",-0.136406953972843,1
"Prey_predicted6","Fish72","Ref","Large zooplankton",1.87184085786411,1
"NotPrey_predicted6","Fish72","Ref","Small zooplankton",-1.869411407963,1
"ecart_66","Fish72","Ref","Dist to Iso6",-2.47298124408634,1
"Dist_fond6","Fish72","Ref","Dist to bottom",-2.673338969793,1
